track_id;class_name;direction;speed_kmh
129;car;inbound;67.0
131;car;outbound;41.0
132;bus;outbound;53.0
133;car;inbound;61.0
134;car;outbound;29.0
139;car;outbound;42.0
140;car;outbound;42.0
141;car;inbound;70.0
142;car;inbound;73.0
143;car;outbound;37.0
144;car;outbound;39.0
145;car;outbound;38.0
147;car;outbound;33.0
149;car;inbound;70.0
151;car;inbound;76.0
152;car;inbound;46.0
153;car;outbound;41.0
156;car;outbound;32.0
158;car;inbound;109.0
159;car;outbound;42.0
160;car;outbound;38.0
161;car;inbound;81.0
162;car;inbound;51.0
163;car;inbound;81.0
165;car;inbound;64.0
167;car;outbound;42.0
169;car;inbound;57.0
170;car;inbound;139.0
173;car;outbound;34.0
174;bus;outbound;37.0
175;car;outbound;33.0
178;car;outbound;41.0
180;car;inbound;57.0
183;car;inbound;81.0
184;truck;outbound;38.0
188;car;outbound;41.0
191;car;outbound;31.0
192;car;inbound;76.0
193;car;outbound;36.0
199;car;inbound;73.0
201;bus;inbound;64.0
205;car;outbound;38.0
207;car;outbound;38.0
210;car;inbound;76.0
212;car;outbound;34.0
215;car;outbound;37.0
216;truck;inbound;49.0
217;car;outbound;40.0
218;car;inbound;53.0
220;car;inbound;64.0
225;car;outbound;39.0
233;car;inbound;73.0
236;truck;inbound;45.0
240;car;outbound;37.0
245;car;inbound;59.0
248;car;outbound;41.0
249;car;inbound;67.0
251;car;outbound;31.0
252;car;inbound;64.0
255;car;outbound;36.0
256;car;inbound;61.0
257;car;outbound;44.0
260;car;outbound;38.0
262;car;inbound;64.0
263;car;inbound;48.0
265;car;inbound;64.0
268;car;outbound;42.0
270;car;inbound;67.0
271;car;outbound;38.0
278;car;inbound;51.0
281;car;inbound;67.0
282;car;inbound;59.0
289;car;outbound;36.0
290;car;inbound;64.0
292;car;outbound;38.0
294;car;inbound;61.0
296;car;outbound;39.0
299;car;inbound;59.0
304;car;inbound;53.0
305;car;outbound;40.0
306;car;inbound;64.0
307;car;inbound;73.0
308;car;outbound;37.0
309;car;inbound;59.0
310;car;outbound;35.0
311;car;outbound;36.0
313;car;inbound;67.0
319;car;outbound;37.0
320;car;outbound;36.0
321;car;inbound;70.0
322;car;inbound;59.0
324;car;outbound;38.0
328;car;inbound;59.0
329;car;outbound;41.0
331;car;inbound;28.0
332;car;inbound;64.0
334;car;outbound;35.0
335;car;outbound;39.0
337;car;inbound;59.0
338;car;outbound;40.0
342;car;inbound;57.0
343;car;inbound;55.0
346;car;inbound;70.0
347;car;outbound;42.0
351;car;inbound;53.0
352;car;inbound;53.0
353;car;inbound;55.0
356;car;inbound;55.0
357;car;outbound;34.0
358;car;outbound;41.0
359;bus;inbound;57.0
362;car;inbound;53.0
365;car;outbound;41.0
369;car;inbound;55.0
371;car;inbound;51.0
372;car;outbound;37.0
374;car;outbound;35.0
378;car;inbound;51.0
379;car;outbound;42.0
381;truck;outbound;33.0
383;car;inbound;51.0
385;car;inbound;53.0
386;car;inbound;51.0
387;truck;inbound;53.0
391;car;outbound;37.0
393;car;outbound;42.0
395;car;inbound;57.0
397;car;inbound;67.0
409;car;inbound;53.0
411;car;outbound;39.0
412;car;outbound;31.0
413;bus;inbound;57.0
414;car;outbound;39.0
417;car;inbound;51.0
422;car;inbound;59.0
425;car;inbound;55.0
426;car;inbound;42.0
427;car;inbound;46.0
428;car;outbound;39.0
430;car;outbound;39.0
433;car;inbound;49.0
434;car;inbound;53.0
436;car;outbound;36.0
438;truck;outbound;37.0
439;car;inbound;36.0
440;car;inbound;46.0
443;car;outbound;37.0
444;car;inbound;53.0
449;car;inbound;59.0
450;car;outbound;39.0
451;car;inbound;51.0
452;truck;outbound;34.0
453;car;inbound;53.0
455;car;inbound;57.0
458;car;outbound;33.0
466;car;outbound;41.0
469;car;outbound;42.0
470;car;inbound;55.0
472;car;inbound;49.0
473;car;outbound;46.0
474;car;outbound;29.0
477;car;inbound;67.0
479;car;outbound;38.0
483;car;inbound;57.0
485;car;outbound;48.0
487;car;outbound;40.0
491;car;inbound;81.0
492;car;inbound;96.0
493;car;inbound;76.0
496;car;outbound;41.0
497;car;outbound;51.0
500;car;inbound;53.0
501;car;inbound;76.0
503;car;outbound;36.0
504;car;inbound;55.0
507;car;outbound;36.0
508;car;inbound;55.0
510;car;outbound;46.0
512;car;outbound;33.0
